RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,_complaint_datetime,address_norm,elevator_complaint_flag,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,example_raw_address,conveyance_active_record_count,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_descriptions,conveyance_active_flag,conveyance_no_cert_record_count,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_descriptions,conveyance_no_cert_flag,sfd_rescue_at_address_flag
1061318-VI,Notice of Violation,Case,,"This apartment named Cielo, location 800 Seneca street, has so many issues, the elevators doesn't work for months. Even one of them is not working now for weeks. In one situation all elevators were out for more than 6 hours with now way to address emergencies form floor up to 30th. The AC and vent systems were down for more than 6 months, and now they are working but not appropriately functional. The management don't give any attention to residents issues and the issue raised by residents l",2025 Jul 11 12:00:00 AM,2025 Jul 11 12:00:00 AM,Completed,NOV Issued,800 SENECA ST,98101.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1061318-VI,47.60967965,-122.32978562,"(47.60967965, -122.32978562)",7,2025,3,7.0,2025.0,3.0,False,False,0.0,7.0,False,True,False,True,2025-07-11,800 SENECA ST,True,21,2020-01-19,2026-01-19,800 Seneca St,3,2015-04-08,2015-04-09,EQP-CY-08148 | EQP-CY-08147 | EQP-CY-08144,Conveyance Equipment Certification,"C - Cabled Elevator, City # 11363 | B - Cabled Elevator, City # 11362 | A - Cabled Elevator, City # 11361",Active,,True,0,,,,,,,,False,True
008754-25CP,Complaint,Request,,"2483 Birch Ave N
Seattle, WA  98109
United States

Domaine apartments 

The elevator has been out of service since 6/19 there has been no resolution. There are elderly and disabled residents reliving on the 5th and 6th floors.",2025 Jul 14 12:00:00 AM,,,Closed,2483 Birch AVE N,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008754-25CP,47.64163484,-122.3463559,"(47.64163484, -122.3463559)",7,2025,3,,,,True,True,,7.0,True,False,False,True,2025-07-14,2483 BIRCH AVE N,True,3,2024-11-27,2025-07-17,2483 Birch Ave N,2,2008-10-02,2008-10-02,EQP-CY-06909 | EQP-CY-06908,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 8914 | 1-P - Cabled Elevator, City # 8913",Active,,True,0,,,,,,,,False,True
008804-25CP,Complaint,Request,,"Elevator shut down, been down for nine months, would like inspection",2025 Jul 15 12:00:00 AM,,,Completed,404 TERRY AVE,98104.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008804-25CP,47.60486119,-122.32225015,"(47.60486119, -122.32225015)",7,2025,3,,,,True,True,,2.0,True,False,False,True,2025-07-15,404 TERRY AVE,True,19,2021-05-15,2025-05-26,404 Terry Ave,1,2000-08-08,2000-08-08,EQP-CY-00220,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 7339",Active,,True,0,,,,,,,,False,True
008805-25CP,Complaint,Request,,"Elevator has been out since June 6th, 2025.  It is difficult for some people in the building to use the stairs and access essential needs.8935 160th Ave Northeast the b buildingRedmond Washington 98052",2025 Jul 15 12:00:00 AM,,,Closed,8935 160th AVE NE,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008805-25CP,,,,7,2025,3,,,,True,True,,,True,False,False,True,2025-07-15,8935 160TH AVE NE,True,0,,,,0,,,,,,,,False,0,,,,,,,,False,False
008839-25CP,Complaint,Request,,This apartment complex is violating ADA by having both elevators out of commission for an indiclosed amount of time. One of these elevators have been out for WEEKS and the one that was running - typically goes out every 15 days. Both of these elevators are now down and I am disabled and cannot go up and down multiple flights of stairs.,2025 Jul 15 12:00:00 AM,,,Closed,306 BLANCHARD ST,98121.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008839-25CP,47.61419579,-122.34355459,"(47.61419579, -122.34355459)",7,2025,3,,,,True,True,,7.0,True,False,False,True,2025-07-15,306 BLANCHARD ST,True,4,2021-04-29,2024-09-25,306 Blanchard St,2,1990-04-05,1990-04-05,EQP-CY-03258 | EQP-CY-03257,Conveyance Equipment Certification,"P-1 - Cabled Elevator, City # 1869 | P-2 - Cabled Elevator, City # 1868",Active,,True,0,,,,,,,,False,True
008906-25CP,Complaint,Request,,"The door from the garage to the stairwell has not worked for over a month, the only form of egress is through the elevator or the garage door. I have reported this to building management multiple times and they refuse to correct the error. I believe this is a fire hazard as there would be no way to escape if a fire blocked the garage door and the elevator was disabled because of the fire. Building management does not intend to correct this issue.",2025 Jul 16 12:00:00 AM,,,Completed,1011 E TERRACE ST,98122.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008906-25CP,47.60504323,-122.3184988,"(47.60504323, -122.3184988)",7,2025,3,,,,True,True,,2.0,True,False,False,True,2025-07-16,1011 E TERRACE ST,True,2,2021-12-22,2023-07-28,1011 E Terrace St,0,,,,,,,,False,2,2000-01-31,2000-01-31,EQP-CY-05450 | EQP-CY-05449,Conveyance Equipment Certification,"2 - Hydraulic Elevator, City # 7222 | 1 - Hydraulic Elevator, City # 7221",Operating Without Certificate,,True,True
008989-25CP,Complaint,Request,,"1 of 3 elevators has beendown for 5 months, 2 of 3is down intermittently.Management is not givingany repair plans, they'vestated the elevators arean amenity, not a necessity.  Caller lives onthe 38th floor.",2025 Jul 17 12:00:00 AM,2025 Oct 16 12:00:00 AM,Withdrawn,Closed,1600 2ND AVE,98101.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008989-25CP,47.61067146,-122.33958684,"(47.61067146, -122.33958684)",7,2025,3,10.0,2025.0,4.0,False,False,91.0,7.0,True,False,False,True,2025-07-17,1600 2ND AVE,True,14,2023-08-09,2025-06-20,1600 2nd Ave,0,,,,,,,,False,5,2017-08-31,2017-08-31,EQP-CY-08803 | EQP-CY-08802 | EQP-CY-08801 | EQP-CY-08800 | EQP-CY-08799,Conveyance Equipment Certification,"5-P - Cabled Elevator, City # 11878 | 4-P - Cabled Elevator, City # 11877 | 3-P - Cabled Elevator, City # 11876 | 2-P - Cabled Elevator, City # 11875 | 1-P - Cabled Elevator, City # 11874",Operating Without Certificate,2ND & PINE - CONV,True,True
009072-25CP,Complaint,Request,,"Elevator is down, been broke for 3months. Mgmt. has not fixed. Elderly people live in bldg. Tenant wants to know if he can be compensated or some type of legal resources to fix the elevator. Or something other than saying there's nothing they can do. What are rights?Reference 009073-25",2025 Jul 18 12:00:00 AM,,,Closed,221 13TH AVE E,98102.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009072-25CP,47.6204525,-122.31586439,"(47.6204525, -122.31586439)",7,2025,3,,,,True,True,,3.0,True,False,False,True,2025-07-18,221 13TH AVE E,True,0,,,,1,1990-03-02,1990-03-02,EQP-CY-02943,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 2689",Active,,True,0,,,,,,,,False,False
009080-25CP,Complaint,Request,,elevator out landlord aware,2025 Jul 18 12:00:00 AM,2025 Oct 08 12:00:00 AM,Completed,Completed,55 S ATLANTIC ST,98134.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009080-25CP,47.59000619,-122.33626307,"(47.59000619, -122.33626307)",7,2025,3,10.0,2025.0,4.0,False,False,82.0,1.0,True,False,False,True,2025-07-18,55 S ATLANTIC ST,True,2,2022-11-19,2023-02-24,55 S Atlantic St,0,,,,,,,,False,2,1990-04-05,1990-04-05,EQP-CY-03252 | EQP-CY-03251,Conveyance Equipment Certification,"1-F - Cabled Elevator, City # 1482 | 2-F - Cabled Elevator, City # 1483",Operating Without Certificate,,True,True
009082-25CP,Complaint,Request,,"There is a passenger/freight elevator for this mixed use, residential and commercial building.  The top two floors, 3rd and 4th floors, are residential.  The elevator for this ADA building has been out of service since 2022.  We continue to have rent increases and told by Somerset Properties Inc. that the elevator will be in use soon.  Somerset Properties Inc. also states in many, many emails that I have on file, ""the reason for the delay is that Otis has to make the parts from scratch"".  When",2025 Jul 18 12:00:00 AM,,,Open Duplicate,55 S ATLANTIC ST,98134.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009082-25CP,47.59000619,-122.33626307,"(47.59000619, -122.33626307)",7,2025,3,,,,True,True,,1.0,True,False,False,True,2025-07-18,55 S ATLANTIC ST,True,2,2022-11-19,2023-02-24,55 S Atlantic St,0,,,,,,,,False,2,1990-04-05,1990-04-05,EQP-CY-03252 | EQP-CY-03251,Conveyance Equipment Certification,"1-F - Cabled Elevator, City # 1482 | 2-F - Cabled Elevator, City # 1483",Operating Without Certificate,,True,True
