"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"7900 RAINIER AVE S","98118","2","18","14","0","0","0","2","1","0","0","2","2006;2014;2016;2017;2018;2021;2023;2024","ChronicNeglector|UtilityLever","1","0","0"
"2224 2ND AVE","98121","7","68","14","7","0","0","3","0","2","3","6","2005;2006;2007;2008;2009;2013;2015;2016;2017;2019;2020;2022;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"6334 RAINIER AVE S","98118","2","35","14","4","0","0","1","0","0","4","6","2005;2008;2011;2012;2013;2014;2015;2018;2019;2020;2021;2022;2024","ChronicNeglector","1","0","0"
"600 9TH AVE","98104","3","39","14","2","0","0","12","0","0","0","21","2013;2017;2018;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"1410 S COLUMBIAN WAY","98144","2","36","14","2","0","0","1","0","0","1","5","2008;2010;2011;2012;2013;2016;2017;2019;2023;2024","ChronicNeglector","1","0","0"
"80 STEWART ST","98101","7","36","14","7","0","0","2","0","0","3","17","2007;2008;2017;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"223 YESLER WAY","98104","1","68","14","12","0","0","14","1","0","0","32","2007;2008;2009;2010;2012;2013;2015;2016;2017;2018;2019;2020;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"504 E DENNY WAY","98122","3","40","14","3","0","0","2","1","2","1","15","2006;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"2004 DEXTER AVE N","98109","7","40","14","7","0","0","2","0","2","4","8","2006;2013;2014;2015;2018;2022;2023;2025","ChronicNeglector","1","0","0"
"920 NE 63RD ST","98115","4","18","14","0","0","0","0","0","2","0","7","2022;2023;2024;2025","ChronicNeglector","1","0","0"
"7401 RAINIER AVE S","98118","2","21","14","1","0","0","0","1","1","0","5","2006;2007;2009;2010;2011;2012;2015;2016;2017;2020;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"10306 MERIDIAN AVE N","98133","5","26","14","2","0","0","0","0","0","2","5","2007;2010;2011;2012;2013;2014;2015;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"4547 19TH AVE NE","98105","4","46","13","3","0","0","1","0","2","1","3","2004;2005;2006;2007;2008;2015;2016;2017;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
