"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"3213 E YESLER WAY","98122","3","6","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"111 29TH AVE","98122","3","2","0","0","0","0","0","0","0","0","1","2005;2006","Other","0","0","0"
"4043 CALIFORNIA AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"7810 CALIFORNIA AVE SW","98136","1","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"600 W CROCKETT ST","98119","7","2","0","0","0","0","0","1","0","0","0","2005;2008","Other","0","0","0"
"1213 NE 63RD ST","98115","4","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"7528 19TH AVE NE","98115","4","3","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"5256 BEACH DR SW","98136","1","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"1621 E MCGRAW ST","98112","3","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"3436 24TH AVE W","98199","7","2","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"1713 S MAIN ST","98144","3","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"1124 HOWELL ST","98101","7","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"5414 GREEN LAKE WAY N","98103","6","1","0","0","0","0","0","0","0","0","1","2020","Other","0","0","0"
"3719 NE 77TH ST","98115","4","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"12321 14TH AVE NE","98125","5","2","0","0","0","0","0","0","0","0","0","2019;2020","Other","0","0","0"
"7825 5TH AVE NE","98115","4","2","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"314 N 133RD ST","98133","5","6","0","0","0","0","0","0","1","0","0","2014;2016;2017","Other","0","0","0"
"5846 SEWARD PARK AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2004;2005","Other","0","0","0"
"1528 MAGNOLIA WAY W","98199","7","3","0","0","0","0","0","0","0","0","1","2008;2021","Other","0","0","0"
"1605 42ND AVE E","98112","3","7","0","0","0","0","0","0","0","0","1","2010;2016;2017","Other","0","0","0"
"3056 NW 56TH ST","98107","6","2","0","0","0","0","0","0","0","0","0","2007;2024","Other","0","0","0"
"9022 8TH AVE NE","98115","5","1","0","0","0","0","1","0","0","0","1","2024","Other","0","0","0"
"1010 E PIKE ST","98122","3","2","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"900 NW 80TH ST","98117","6","2","0","0","0","0","0","0","0","0","0","2012;2016","Other","0","0","0"
"507 21ST AVE","98122","3","7","0","0","0","0","0","0","0","0","0","2006;2007;2014;2018;2019;2023","Other","0","0","0"
"2715 E PIKE ST","98122","3","2","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"4529 1ST AVE NE","98105","4","2","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"4912 SW CANADA DR","","1","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"2849 SW DAKOTA ST","98126","1","3","0","0","0","0","0","0","0","0","0","2012;2016","Other","0","0","0"
"1055 N 35TH ST","98103","4","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"1123 ELM PL SW","98116","1","2","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"1520 NE 107TH ST","98125","5","5","0","0","0","0","0","0","0","0","0","2007;2012;2016","Other","0","0","0"
"801 NE NORTHGATE WAY","98125","5","4","0","0","0","0","0","0","0","0","0","2023;2024","Other","0","0","0"
"10051 CALIFORNIA AVE SW","98146","1","4","0","0","0","0","0","0","0","0","0","2011;2014;2017","Other","0","0","0"
"6309 BEACH DR SW","98136","1","2","0","0","1","0","0","0","0","0","0","2016;2017","Other","0","0","0"
"2042 NW 63RD ST","98107","6","1","0","1","0","0","0","0","0","0","0","2005","Other","0","0","0"
"8209 15TH AVE NE","98115","4","2","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"1104 SW HENDERSON ST","98106","1","11","0","0","0","0","1","0","0","0","2","2010;2011;2012;2020;2025","Other","0","0","0"
"1546 S SHELTON ST","98108","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"8819 ASHWORTH AVE N","98103","5","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"3604 35TH AVE SW","98126","1","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"518 4TH AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"3617 2ND AVE NW","98107","6","3","0","0","0","0","0","0","0","0","2","2019;2025","Other","0","0","0"
"7530 15TH AVE NW","98117","6","13","0","1","0","0","0","0","0","0","1","2008;2009;2010;2015;2016;2018;2022","Other","0","0","0"
"5640 18TH AVE SW","98106","1","5","0","0","0","0","0","0","0","0","0","2010;2015;2020;2025","Other","0","0","0"
"2308 48TH AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"2601 ELLIOTT AVE","98121","7","16","0","0","0","0","0","0","0","0","3","2006;2013;2015;2017;2018;2023","Other","0","0","0"
"7757 2ND AVE NE","98115","6","2","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"307 1ST AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"1846 S KING ST","98144","3","2","0","0","0","0","0","0","0","0","1","2019","Other","0","0","0"
"1406 NW 70TH ST","98117","6","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"1617 36TH AVE","","3","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"2271 HARBOR AVE SW","98126","1","5","0","0","0","0","0","0","0","0","0","2012;2023","Other","0","0","0"
"6609 ELLIS AVE S","98108","1","1","0","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"5147 S BRIGHTON ST","98118","2","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"10005 RENTON AVE S","98178","2","1","0","0","0","0","0","0","0","0","1","2019","Other","0","0","0"
"3916 AURORA AVE N","98103","4","1","0","1","0","0","0","0","0","0","0","2013","Other","0","0","0"
"7329 SEWARD PARK AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"305 1ST AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"6737 15TH AVE NW","98117","6","2","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"4110 ROOSEVELT WAY NE","98105","4","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"1530 WESTLAKE AVE N","98109","7","2","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"2038 NW 61ST ST","98107","6","3","0","1","0","0","0","0","0","0","0","2007","Other","0","0","0"
"9734 4TH AVE NW","","5","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"1128 NE 135TH ST","98125","5","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"12042 HIRAM PL NE","98125","5","2","0","0","0","0","0","0","0","0","0","2018;2019","Other","0","0","0"
"2519 MINOR AVE E","98102","3","1","0","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"7821 62ND AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"528 22ND AVE","98122","3","2","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2710 A E YESLER WAY","98122","3","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"737 N 84TH ST","98103","6","2","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"5252 S FONTANELLE PL","98118","2","1","0","1","0","0","0","0","0","1","0","2022","Other","0","0","0"
"1522 TAYLOR AVE N","98109","7","6","0","0","0","0","0","0","0","0","0","2017;2021;2022;2023","Other","0","0","0"
"9035 C 17TH AVE SW","98106","1","1","0","0","0","0","0","1","0","0","0","2019","Other","0","0","0"
"5130 S AUGUSTA ST","98178","2","2","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"9706 WATERS AVE S","98118","2","5","0","0","0","0","0","0","0","0","1","2018;2022;2023","Other","0","0","0"
"1451 NW 92ND ST","98117","5","3","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"3621 45TH AVE W","98199","6","2","0","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"2600 EAST MONTLAKE PL E","98112","3","2","0","0","0","0","0","0","0","0","0","2006","Other","0","0","0"
"3632 24TH AVE S","98144","2","6","0","0","0","0","0","0","2","0","1","2016;2021;2025","Other","0","0","0"
"2811 14TH AVE W","","7","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"2419 W LYNN ST","98199","7","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"8022 18TH AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"13731 42ND PL NE","98125","5","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"6301 CALIFORNIA AVE SW","98136","1","4","0","0","0","0","0","0","0","0","1","2007;2011;2015","Other","0","0","0"
"1902 S MAIN ST","98144","3","3","0","0","0","0","0","0","0","0","1","2013;2020","Other","0","0","0"
"2619 34TH AVE W","","6","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"5017 D DELRIDGE WAY SW","98106","1","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"9023 MARY AVE NW","98117","5","5","0","1","0","0","0","0","0","1","2","2009;2021;2022","Other","0","0","0"
"9030 4TH AVE NW","98117","5","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"2807 FRANKLIN AVE E","98102","3","1","0","0","0","0","0","0","0","0","1","2023","Other","0","0","0"
"3817 SW MYRTLE ST","98126","1","3","0","0","0","0","0","0","0","0","0","2009;2012;2015","Other","0","0","0"
"5900 PHINNEY AVE N","98103","6","3","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"2503 NE 65TH ST","98115","4","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"5010 35TH AVE SW","98126","1","1","0","0","0","0","0","0","0","0","1","2023","Other","0","0","0"
"2553 NE 85TH ST","98115","4","2","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"113 WARREN AVE N","","","1","0","0","0","0","0","0","0","0","1","2008","Other","0","0","0"
"6908 12TH AVE NE","98115","4","2","0","0","0","0","0","0","2","0","0","2011","Other","0","0","0"
"3843 WOODLAND PARK AVE N","98103","4","2","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"5971 B RAINIER AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2013;2019","Other","0","0","0"
"6307 SW WILTON CT","98116","1","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"9531 EVANSTON AVE N","","5","7","0","0","0","0","0","0","1","0","3","2019;2020","Other","0","0","0"
"7560 30TH AVE NE","98115","4","4","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"155 MERCER ST","98109","7","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"707 E ROY ST","98102","3","2","0","0","0","0","0","0","0","0","0","2009;2011","Other","0","0","0"
"829 S SULLIVAN ST","98108","1","1","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"7016 10TH AVE NW","","6","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"8529 29TH AVE NW","98117","6","3","0","0","0","0","0","0","0","0","0","2008;2019","Other","0","0","0"
"10411 40TH AVE NE","98125","5","2","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"10244 44TH AVE SW","98146","1","3","0","0","0","0","0","0","0","0","0","2005;2006","Other","0","0","0"
"8323 WOLCOTT AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"3054 20TH AVE S","98144","2","5","0","0","0","0","0","0","1","0","0","2006;2017","Other","0","0","0"
"2019 E TERRACE ST","98122","3","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"4575 53RD AVE SW","98116","1","2","0","0","0","0","0","0","0","0","0","2010;2021","Other","0","0","0"
"2351 ROSEMONT PL W","98199","6","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"512 NE 85TH ST","98115","5","2","0","0","0","0","0","0","0","0","0","2018;2025","Other","0","0","0"
"3332 E REPUBLICAN ST","98112","3","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"12002 3RD AVE NW","98177","5","2","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"4200 49TH AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2006;2007","Other","0","0","0"
"3728 SW THISTLE ST","98126","1","1","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"620 20TH AVE","98122","3","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"9267 RENTON AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2016;2024","Other","0","0","0"
"14356 37TH AVE NE","98125","5","2","0","0","0","0","0","0","0","0","1","2017;2024","Other","0","0","0"
"717 W BLAINE ST","98119","7","1","0","0","0","0","0","0","0","0","1","2020","Other","0","0","0"
"2624 BELVIDERE AVE SW","98126","1","3","0","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"3931 WOODLAND PARK AVE N","98103","4","1","0","0","0","0","1","0","0","0","0","2025","Other","0","0","0"
"1916 BOREN AVE","98101","7","3","0","0","0","0","0","0","0","0","0","2023;2024","Other","0","0","0"
"3100 W COMMODORE WAY","98199","6","2","0","0","0","0","0","0","0","0","0","2021;2022","Other","0","0","0"
"4903 RAINIER AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"6040 35TH AVE SW","98126","1","1","0","1","0","0","0","0","0","1","1","2023","Other","0","0","0"
"6755 9TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"109 PINE ST","98101","7","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"960 NW 96TH ST","98117","5","2","0","0","0","0","0","0","0","0","0","2024;2025","Other","0","0","0"
"4309 35TH AVE W","98199","6","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"10753 ASHWORTH AVE N","","5","2","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"3211 B S WASHINGTON ST","","","2","0","0","0","0","0","0","0","0","0","2012;2013","Other","0","0","0"
"1358 S PEARL ST","98108","2","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"836 NW MARKET ST","98107","6","3","0","0","0","0","0","0","0","0","1","2015;2023","Other","0","0","0"
"5606 MCKINLEY PL N","98103","6","6","0","0","0","0","0","0","0","0","0","2009;2019;2020","Other","0","0","0"
"10729 SEOLA BEACH DR SW","98146","1","2","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"1428 1ST AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"6233 WILSON AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"1314 S JACKSON ST","98144","2","1","0","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"7152 30TH AVE SW","98126","1","4","0","0","0","0","0","0","0","0","0","2007;2008","Other","0","0","0"
"7003 37TH AVE NE","98115","4","11","0","1","0","0","0","0","0","0","6","2008;2009;2024;2025","Other","0","0","0"
"2215 YALE AVE E","98102","3","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"5001 DELRIDGE WAY SW","98106","1","4","0","0","0","0","0","0","0","0","0","2004;2010;2023","Other","0","0","0"
"2327 MCGILVRA BLVD E","98112","3","1","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"4201 42ND AVE S","98118","2","12","0","0","0","0","1","0","0","0","0","2010;2012;2013;2014","Other","0","0","0"
"5423 49TH AVE SW","98136","1","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"9053 FREMONT AVE N","98103","5","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"6513 23RD AVE NE","98115","4","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"4847 NE 45TH ST","98105","4","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"2439 NW 61ST ST","98107","6","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"2468 S COLLEGE ST","98144","2","1","0","0","0","0","0","0","0","0","1","2023","Other","0","0","0"
"3016 E DENNY WAY","98122","3","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"1302 SW MYRTLE ST","98106","1","2","0","0","0","0","0","0","0","0","0","2015;2019","Other","0","0","0"
"8702 A MARY AVE NW","98117","5","4","0","0","0","0","0","0","0","0","0","2022;2024","Other","0","0","0"
"1104 NE 50TH ST","98105","4","2","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"3841 AURORA AVE N","","6","2","0","0","0","0","0","0","0","0","1","2020;2024","Other","0","0","0"
"6736 38TH AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"6811 FRANCIS AVE N","98103","6","3","0","0","0","0","0","0","0","0","0","2007;2014","Other","0","0","0"
"208 NE 77TH ST","98115","6","2","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"4217 NE 123RD ST","98125","5","4","0","0","0","0","3","0","0","0","0","2007;2018","UtilityLever","0","0","0"
"6413 PHINNEY AVE N","98103","6","2","0","0","0","0","0","0","1","0","1","2018;2020","Other","0","0","0"
"112 N 49TH ST","98103","6","2","0","0","0","0","0","0","0","0","0","2011;2012","Other","0","0","0"
"1628 9TH AVE W","98119","7","2","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"12041 PHINNEY AVE N","98133","5","2","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"326 30TH AVE","98122","3","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"4711 44TH AVE SW","","1","1","0","0","0","0","0","0","0","0","1","2020","Other","0","0","0"
"1229 DENNY WAY","98109","7","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"9256 PHINNEY AVE N","98103","5","4","0","1","0","0","0","0","0","1","0","2018;2024;2025","Other","0","0","0"
"7530 25TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2934 NW 96TH ST","98117","6","3","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"7758 58TH AVE NE","98115","4","2","0","0","0","0","0","0","0","0","0","2006","Other","0","0","0"
"5500 15TH AVE NW","98107","6","3","0","0","0","0","0","0","0","0","1","2015;2018","Other","0","0","0"
"9257 VIEW AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"14306 38TH AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"3819 FREMONT AVE N","98103","6","2","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"706 N 42ND ST","98103","6","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"4844 18TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"920 2ND AVE W","98119","7","2","0","0","0","0","0","0","0","0","0","2014;2022","Other","0","0","0"
"3214 NW 61ST ST","98107","6","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"3701 SW WEBSTER ST","98126","1","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"928 NW 52ND ST","98107","6","3","0","0","0","0","0","0","0","0","0","2007;2015","Other","0","0","0"
"3432 38TH AVE SW","98126","1","1","0","0","0","0","0","0","1","0","0","2004","Other","0","0","0"
"9736 46TH AVE NE","98115","5","1","0","0","0","0","0","0","0","0","1","2020","Other","0","0","0"
"9243 38TH AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"3014 62ND AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"3035 NE 130TH ST","98125","5","1","0","1","0","0","0","0","0","0","0","2025","Other","0","0","0"
"9625 35TH AVE SW","98126","1","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"2251 CONDON WAY W","98199","6","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"6023 19TH AVE S","98108","2","3","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"7208 36TH AVE SW","98126","1","3","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"1703 32ND AVE","98122","3","2","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"522 VALLEY ST","98109","7","3","0","1","0","0","0","0","0","0","2","2018;2019","Other","0","0","0"
"4832 S GRAHAM ST","98118","2","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"4619 S GARDEN ST","98118","2","2","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"3824 CHEASTY BLVD S","98108","2","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"305 NE 45TH ST","98105","4","2","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"810 N 42ND ST","98103","6","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"5602 38TH AVE SW","98126","1","3","0","0","0","0","0","0","0","0","0","2009;2022","Other","0","0","0"
"8519 MIDVALE AVE N","","5","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"1639 N 55TH ST","98103","6","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"1220 5TH AVE N","98109","7","4","0","0","0","0","3","0","0","0","1","2017;2018","UtilityLever","0","0","0"
"6245 FLORA AVE S","98108","1","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"9425 7TH AVE SW","98106","1","2","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"5044 BAKER AVE NW","98107","6","2","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"42 W DRAVUS ST","98119","7","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"9445 18TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"3325 LAKEWOOD AVE S","98144","2","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"415 NW MARKET ST","98107","6","2","0","1","0","0","0","0","0","0","0","2006","Other","0","0","0"
"6321 SEAVIEW AVE NW","98107","6","4","0","0","4","0","0","0","0","0","0","2009;2010;2011","Other","0","0","0"
"10050 WATERS AVE S","98178","2","7","0","0","0","0","0","0","0","0","3","2023","Other","0","0","0"
"10307 LAKE CITY WAY NE","98125","5","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"5325 RAVENNA PL NE","98105","4","1","0","0","0","0","0","0","0","0","1","2022","Other","0","0","0"
"2502 E OLIVE ST","98122","3","1","0","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"7352 11TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"814 NE 85TH ST","98115","5","2","0","0","0","0","0","0","0","0","1","2019","Other","0","0","0"
"707 HARRISON ST","98109","7","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"5053 42ND AVE SW","98136","1","1","0","0","0","0","0","0","1","0","1","2025","Other","0","0","0"
"9715 46TH AVE NE","98115","5","2","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"4232 S TRENTON ST","98118","2","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"4516 NE 38TH ST","98105","4","1","0","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"2120 9TH AVE W","98119","7","1","0","1","0","0","0","0","0","0","0","2025","Other","0","0","0"
"13740 42ND AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"711 A N 94TH ST","98103","5","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"1917 19TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"14051 23RD PL NE","98125","5","2","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"1420 NW 63RD ST","98107","6","2","0","0","0","0","0","0","0","0","0","2022;2024","Other","0","0","0"
"1906 BIGELOW AVE N","98109","7","4","0","0","0","0","0","0","0","0","0","2018;2024;2025","Other","0","0","0"
"4000 WHITMAN AVE N","98103","4","4","0","0","0","0","0","0","0","0","1","2020;2021;2025","Other","0","0","0"
"8300 RENTON AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"4724 31ST AVE S","98108","2","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"1756 A 19TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","1","2020","Other","0","0","0"
"6050 53RD AVE NE","98115","4","1","0","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"3214 CONKLING PL W","98119","7","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"3220 15TH AVE W","98119","7","2","0","1","0","0","0","0","0","1","0","2012;2017","Other","0","0","0"
"9663 RAINIER AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2013;2021;2023","Other","0","0","0"
"900 S MAIN ST","98104","2","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"2503 WESTERN AVE","98121","7","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"801 F NW 50TH ST","98107","6","1","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"3703 S COURT ST","98144","2","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"4207 S BATEMAN ST","98118","2","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"545 ELLIOTT AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"3900 50TH AVE NE","98105","4","1","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"6800 RAINIER AVE S","98118","2","3","0","0","0","0","1","0","0","0","0","2008;2023","Other","0","0","0"
"6530 B 42ND AVE SW","98136","1","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"2340 N 122ND ST","98133","5","7","0","0","0","0","0","0","0","0","0","2004;2008;2009;2010","Other","0","0","0"
"2824 35TH AVE W","98199","6","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"7723 17TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"328 30TH AVE E","98112","3","2","0","0","0","0","0","0","0","0","1","2006;2018","Other","0","0","0"
"1646 S KING ST","98144","3","2","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"2156 6TH AVE W","98119","7","2","0","0","0","0","0","0","0","0","2","2023","Other","0","0","0"
"5920 SEWARD PARK AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"1826 AMHERST PL W","98199","7","1","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"6320 15TH AVE NE","98115","4","6","0","1","0","0","0","1","0","0","1","2018;2021","Other","0","0","0"
"7757 A SAND POINT WAY NE","98115","4","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"10007 61ST AVE S","98178","2","4","0","0","0","0","0","0","0","0","0","2010;2013","Other","0","0","0"
"1418 N 39TH ST","98103","4","2","0","0","0","0","0","0","0","0","0","2020;2021","Other","0","0","0"
"2515 BELVIDERE AVE SW","98126","1","2","0","0","0","0","0","0","0","0","0","2004;2008","Other","0","0","0"
"7729 48TH AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"3927 SW AUSTIN ST","98136","1","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
