address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
111 CEDAR ST,111 CEDAR ST,7.0,3,2018-09-05,2025-08-28,7,2021-05-20,2025-12-09,True,2,True,EQP-CY-07382 | EQP-CY-07381,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 9896 | 1-P - Cabled Elevator, City # 9895",Active,2010-07-13,2010-07-13,0,False,,,,,,,True,988.0
111 FAIRVIEW AVE N,111 FAIRVIEW AVE N,7.0,1,2022-12-09,2022-12-09,0,,,False,0,False,,,,,,,0,False,,,,,,,False,
111 TERRY AVE N,111 TERRY AVE N,7.0,2,2022-04-17,2025-08-11,9,2020-06-01,2026-01-24,True,4,True,EQP-CY-09583 | EQP-CY-09582 | EQP-CY-09581 | EQP-CY-09580,Conveyance Equipment Certification,"D - Cabled Elevator, City # 12330 | C - Cabled Elevator, City # 12329 | B - Cabled Elevator, City # 12328 | A - Cabled Elevator, City # 12327",Active,2018-08-16,2018-08-16,0,False,,,,,,,True,-685.0
111 YALE AVE N,111 YALE AVE N,7.0,2,2019-12-02,2024-12-04,2,2023-01-13,2023-09-10,True,2,True,EQP-CY-05515 | EQP-CY-05514,Conveyance Equipment Certification,"B - Hydraulic Elevator, City # 7351 | A - Hydraulic Elevator, City # 7350",Active,2000-05-15,2000-05-15,0,False,,,,,,,True,1138.0
1110 8TH AVE,1110 8TH AVE,7.0,3,2023-01-11,2025-06-04,1,2024-03-24,2024-03-24,True,0,False,,,,,,,0,False,,,,,,,True,438.0
1113 E JOHN ST,1113 E JOHN ST,3.0,1,2018-04-24,2018-04-24,1,2024-01-12,2024-01-12,True,0,False,,,,,,,1,True,EQP-CY-08325,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11705",Operating Without Certificate,2015-11-10,2015-11-10,True,2089.0
1120 8TH AVE,1120 8TH AVE,7.0,1,2025-12-16,2025-12-16,0,,,False,2,True,EQP-CY-01166 | EQP-CY-01165,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 3379 | 1-P - Cabled Elevator, City # 3378",Active,1989-07-03,1989-07-03,0,False,,,,,,,False,
1120 NE 43RD ST,1120 NE 43RD ST,4.0,1,2021-10-09,2021-10-09,0,,,False,0,False,,,,,,,1,True,EQP-CY-02977,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 2241",Operating Without Certificate,1990-03-02,1990-03-02,False,
11201 ROOSEVELT WAY NE,11201 ROOSEVELT WAY NE,5.0,1,2025-11-16,2025-11-16,2,2025-12-06,2026-01-07,True,3,True,EQP-CY-11008 | EQP-CY-11007 | EQP-CY-11006,Conveyance Equipment Certification,"C - Cabled Elevator, City # 14723 | B - Cabled Elevator, City # 14716 | A - Cabled Elevator, City # 14715",Active,2024-12-04,2024-12-04,0,False,,,,,,,True,20.0
1125 E OLIVE ST,1125 E OLIVE ST,3.0,1,2024-12-27,2024-12-27,5,2020-09-16,2024-11-04,True,2,True,EQP-CY-05958 | EQP-CY-05957,Conveyance Equipment Certification,"2 - Hydraulic Elevator, City # 7902 | 1 - Hydraulic Elevator, City # 7901",Active,2002-04-25,2002-04-25,0,False,,,,,,,True,-1563.0
11255 GREENWOOD AVE N,11255 GREENWOOD AVE N,5.0,1,2019-08-13,2019-08-13,1,2024-08-18,2024-08-18,True,1,True,EQP-CY-02606,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3673",Active,1990-01-02,1990-01-02,0,False,,,,,,,True,1832.0
1133 24TH AVE,1133 24TH AVE,3.0,2,2024-10-23,2024-11-21,1,2025-07-10,2025-07-10,True,0,False,,,,,,,0,False,,,,,,,True,260.0
115 PREFONTAINE PL S,115 PREFONTAINE PL S,1.0,1,2017-07-21,2017-07-21,6,2020-04-16,2025-10-15,True,1,True,EQP-CY-06266,Conveyance Equipment Certification,"1 - Cabled Elevator, City # 8299",Active,2004-06-17,2004-06-17,0,False,,,,,,,True,1000.0
117 18TH AVE,117 18TH AVE,3.0,4,2023-11-01,2023-11-02,2,2023-10-14,2023-10-31,True,1,True,EQP-CY-03731,Conveyance Equipment Certification,"P - Hydraulic Elevator, City # 3597",Active,1990-06-12,1990-06-12,0,False,,,,,,,True,-18.0
1170 HARRISON ST,1170 HARRISON ST,7.0,4,2024-01-23,2024-08-07,0,,,False,1,True,EQP-CY-05586,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 7548",Active,2000-11-22,2000-11-22,0,False,,,,,,,False,
11745 15TH AVE NE,11745 15TH AVE NE,5.0,1,2015-12-02,2015-12-02,1,2025-07-25,2025-07-25,True,1,True,EQP-CY-00302,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3266",Active,1989-01-20,1989-01-20,0,False,,,,,,,True,3523.0
119 19TH AVE,119 19TH AVE,3.0,2,2019-08-23,2019-09-20,0,,,False,0,False,,,,,,,0,False,,,,,,,False,
120 10TH AVE E,120 10TH AVE E,3.0,3,2024-10-28,2025-10-26,7,2021-09-26,2025-07-23,True,1,True,EQP-CY-08965,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 12331",Active,2018-03-14,2018-03-14,0,False,,,,,,,True,-1128.0
120 6TH AVE S,120 6TH AVE S,2.0,4,2018-03-21,2023-04-20,0,,,False,2,True,EQP-CY-06509 | EQP-CY-06510,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 8668 | 2 - Hydraulic Elevator, City # 8695",Active,2006-07-25,2006-07-25,0,False,,,,,,,False,
120 HARVARD AVE E,120 HARVARD AVE E,3.0,1,2020-08-18,2020-08-18,0,,,False,1,True,EQP-CY-08057,Conveyance Equipment Certification,"1 - Cabled Elevator, City # 11320",Active,2014-09-24,2014-09-24,0,False,,,,,,,False,
120 REPUBLICAN ST,120 REPUBLICAN ST,7.0,1,2021-06-02,2021-06-02,1,2020-06-30,2020-06-30,True,0,False,,,,,,,0,False,,,,,,,True,-337.0
120 SW 114TH ST,120 SW 114TH ST,,2,2025-11-14,2025-11-17,0,,,False,0,False,,,,,,,0,False,,,,,,,False,
1200 BOYLSTON AVE,1200 BOYLSTON AVE,3.0,1,2018-03-21,2018-03-21,0,,,False,1,True,EQP-CY-00516,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 2473",Active,1989-03-16,1989-03-16,0,False,,,,,,,False,
1200 WESTERN AVE,1200 WESTERN AVE,7.0,1,2022-04-06,2022-04-06,1,2023-07-05,2023-07-05,True,1,True,EQP-CY-04737,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 6455",Active,1994-12-23,1994-12-23,2,True,EQP-CY-04739 | EQP-CY-04738,Conveyance Equipment Certification,"3-P - Cabled Elevator, City # 6457 | 2-P - Cabled Elevator, City # 6456",Operating Without Certificate,1994-12-23,1994-12-23,True,455.0
12000 15TH AVE NE,12000 15TH AVE NE,5.0,1,2025-10-29,2025-10-29,0,,,False,0,False,,,,,,,1,True,EQP-CY-05475,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 7279",Operating Without Certificate,2000-02-03,2000-02-03,False,
1207 NW 92ND ST,1207 NW 92ND ST,5.0,1,2016-01-27,2016-01-27,0,,,False,1,True,EQP-CY-02252,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3821",Active,1989-11-29,1989-11-29,0,False,,,,,,,False,
1207 S JACKSON ST,1207 S JACKSON ST,2.0,1,2021-12-21,2021-12-21,2,2019-12-13,2020-11-16,True,0,False,,,,,,,0,False,,,,,,,True,-739.0
1212 QUEEN ANNE AVE N,1212 QUEEN ANNE AVE N,7.0,1,2017-03-21,2017-03-21,2,2021-08-14,2023-08-13,True,2,True,EQP-CY-03433 | EQP-CY-03432,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 3338 | 1-P - Cabled Elevator, City # 3337",Active,1990-05-10,1990-05-10,0,False,,,,,,,True,1607.0
1214 BOYLSTON AVE,1214 BOYLSTON AVE,3.0,1,2020-02-12,2020-02-12,0,,,False,1,True,EQP-CY-05108,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 6796",Active,1998-05-29,1998-05-29,0,False,,,,,,,False,
1215 DEXTER AVE N,1215 DEXTER AVE N,7.0,1,2015-11-02,2015-11-02,2,2021-10-27,2025-01-28,True,0,False,,,,,,,4,True,EQP-CY-06133 | EQP-CY-06132 | EQP-CY-06131 | EQP-CY-06130,Conveyance Equipment Certification,"4NE - Hydraulic Elevator, City # 8229 | 3NW - Hydraulic Elevator, City # 8228 | 2SW - Hydraulic Elevator, City # 8227 | 1SE - Hydraulic Elevator, City # 8226",Operating Without Certificate,2003-11-20,2003-11-20,True,2186.0
1215 SENECA ST,1215 SENECA ST,3.0,1,2023-05-15,2023-05-15,7,2022-09-30,2025-11-08,True,0,False,,,,,,,2,True,EQP-CY-03331 | EQP-CY-03330,Conveyance Equipment Certification,"2-P - Hydraulic Elevator, City # 5283 | 1-P - Cabled Elevator, City # 2770",Operating Without Certificate,1990-04-05,1990-04-05,True,-227.0
1220 1ST AVE,1220 1ST AVE,7.0,1,2024-11-30,2024-11-30,0,,,False,0,False,,,,,,,0,False,,,,,,,False,
1225 10TH AVE,1225 10TH AVE,3.0,1,2024-01-11,2024-01-11,2,2022-12-03,2025-03-23,True,1,True,EQP-CY-10323,Conveyance Equipment Certification,"1 - Cabled Elevator, City # 13557",Active,2021-07-21,2021-07-21,0,False,,,,,,,True,-404.0
123 18TH AVE E,123 18TH AVE E,3.0,3,2025-06-20,2025-07-08,0,,,False,0,False,,,,,,,1,True,EQP-CY-08589,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11950",Operating Without Certificate,2016-11-17,2016-11-17,False,
123 2ND AVE N,123 2ND AVE N,7.0,3,2022-04-21,2022-07-11,0,,,False,1,True,EQP-CY-07096,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 8999",Active,2009-06-19,2009-06-19,1,True,EQP-CY-07097,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 9000",Operating Without Certificate,2009-06-19,2009-06-19,False,
12317 15TH AVE NE,12317 15TH AVE NE,5.0,1,2024-08-19,2024-08-19,6,2021-07-28,2025-12-15,True,0,False,,,,,,,1,True,EQP-CY-05995,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 7970",Operating Without Certificate,2002-08-05,2002-08-05,True,-1118.0
12329 ROOSEVELT WAY NE,12329 ROOSEVELT WAY NE,5.0,1,2024-12-20,2024-12-20,0,,,False,1,True,EQP-CY-04817,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 6523",Active,1995-10-27,1995-10-27,0,False,,,,,,,False,
124 N 103RD ST,124 N 103RD ST,5.0,1,2020-05-18,2020-05-18,1,2020-05-07,2020-05-07,True,1,True,EQP-CY-04091,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 5709",Active,1990-10-25,1990-10-25,0,False,,,,,,,True,-11.0
1240 N MIDVALE PL,1240 N MIDVALE PL,4.0,1,2023-03-21,2023-03-21,0,,,False,1,True,EQP-CY-08675,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11987",Active,2017-03-08,2017-03-08,0,False,,,,,,,False,
12517 33RD AVE NE,12517 33RD AVE NE,5.0,1,2024-08-09,2024-08-09,0,,,False,1,True,EQP-CY-08108,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 11439",Active,2015-01-23,2015-01-23,0,False,,,,,,,False,
12528 35TH AVE NE,12528 35TH AVE NE,5.0,1,2017-11-17,2017-11-17,0,,,False,0,False,,,,,,,0,False,,,,,,,False,
12544 15TH AVE NE,12544 15TH AVE NE,5.0,1,2024-04-14,2024-04-14,0,,,False,1,True,EQP-CY-09547,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 12002",Active,2018-07-31,2018-07-31,0,False,,,,,,,False,
127 BROADWAY E,127 BROADWAY E,3.0,2,2024-05-28,2024-07-23,0,,,False,0,False,,,,,,,1,True,EQP-CY-08230,Conveyance Equipment Certification,"1 - Cabled Elevator, City # 11501",Operating Without Certificate,2015-07-17,2015-07-17,False,
12702 15TH AVE NE,12702 15TH AVE NE,5.0,1,2017-07-11,2017-07-11,1,2024-05-28,2024-05-28,True,2,True,EQP-CY-08494 | EQP-CY-02227,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11885 | 2-P - Hydraulic Elevator, City # 4783",Active,1989-11-29,2016-06-30,0,False,,,,,,,True,2513.0
12718 LAKE CITY WAY NE,12718 LAKE CITY WAY NE,5.0,1,2023-03-06,2023-03-06,2,2020-10-03,2023-09-13,True,0,False,,,,,,,0,False,,,,,,,True,-884.0
12724 LAKE CITY WAY NE,12724 LAKE CITY WAY NE,5.0,4,2017-10-16,2025-10-23,0,,,False,3,True,EQP-CY-05937 | EQP-CY-05936 | EQP-CY-05935,Conveyance Equipment Certification,"3-B - Hydraulic Elevator, City # 7756 | 2-C - Hydraulic Elevator, City # 7755 | 1-A - Hydraulic Elevator, City # 7754",Active,2001-12-20,2001-12-20,0,False,,,,,,,False,
12725 33RD AVE NE,12725 33RD AVE NE,5.0,1,2019-06-17,2019-06-17,2,2023-06-24,2024-08-21,True,0,False,,,,,,,0,False,,,,,,,True,1468.0
12728 28TH AVE NE,12728 28TH AVE NE,5.0,1,2023-09-21,2023-09-21,0,,,False,1,True,EQP-CY-00227,Conveyance Equipment Certification,"1P - Hydraulic Elevator, City # 7233",Active,2000-08-29,2000-08-29,0,False,,,,,,,False,
12748 GREENWOOD AVE N,12748 GREENWOOD AVE N,5.0,2,2025-04-15,2025-04-15,7,2022-09-21,2023-02-20,True,1,True,EQP-CY-01875,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 2893",Active,1989-10-27,1989-10-27,0,False,,,,,,,True,-937.0
130 BOREN AVE N,130 BOREN AVE N,7.0,3,2023-02-14,2023-02-28,1,2022-07-26,2022-07-26,True,0,False,,,,,,,0,False,,,,,,,True,-203.0
130 HARVARD AVE E,130 HARVARD AVE E,3.0,1,2021-07-27,2021-07-27,4,2022-07-10,2025-11-12,True,2,True,EQP-CY-06579 | EQP-CY-06578,Conveyance Equipment Certification,"P-2 - Hydraulic Elevator, City # 8776 | 1-P - Hydraulic Elevator, City # 8775",Active,2006-11-14,2006-11-14,0,False,,,,,,,True,348.0
