address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
10700 MERIDIAN AVE N,10700 MERIDIAN AVE N,5.0,1,2025-04-02,2025-04-02,3,2021-03-31,2025-12-02,True,2,True,EQP-CY-03037 | EQP-CY-03036,Conveyance Equipment Certification,"2-P-S - Cabled Elevator, City # 3760 | 1-P-N - Cabled Elevator, City # 3759",Active,1990-03-05,1990-03-05,0,False,,,,,,,True,-1463.0
13725 32ND AVE NE,13725 32ND AVE NE,5.0,1,2025-01-24,2025-01-24,3,2021-08-11,2025-05-14,True,4,True,EQP-CY-03974 | EQP-CY-03973 | EQP-CY-03972 | EQP-CY-03971,Conveyance Equipment Certification,"4-P - Hydraulic Elevator, City # 5680 | 3-P - Hydraulic Elevator, City # 5679 | 2-P - Hydraulic Elevator, City # 5678 | 1-P - Hydraulic Elevator, City # 5677",Active,1990-08-20,1990-08-20,0,False,,,,,,,True,-1262.0
14002 LINDEN AVE N,14002 LINDEN AVE N,5.0,1,2024-03-08,2024-03-08,3,2022-08-12,2025-12-05,True,2,True,EQP-CY-07846 | EQP-CY-07845,Conveyance Equipment Certification,"2-PE - Cabled Elevator, City # 11179 | 1-PW - Cabled Elevator, City # 11178",Active,2013-10-30,2013-10-30,0,False,,,,,,,True,-574.0
5621 22ND AVE NW,5621 22nd AVE NW,6.0,1,2025-11-24,2025-11-24,12,2021-04-26,2025-06-21,True,0,False,,,,,,,0,False,,,,,,,True,-1673.0
1545 NW MARKET ST,1545 NW MARKET ST,6.0,5,2020-01-13,2023-01-23,10,2019-12-15,2026-01-28,True,4,True,EQP-CY-06977 | EQP-CY-06976 | EQP-CY-06975 | EQP-CY-06974,Conveyance Equipment Certification,"N2 - Cabled Elevator, City # 9450 | N1 - Cabled Elevator, City # 9457 | S2 - Cabled Elevator, City # 9459 | S1 - Cabled Elevator, City # 9458",Active,2009-01-22,2009-01-22,0,False,,,,,,,True,-29.0
4316 FREMONT AVE N,4316 FREMONT AVE N,6.0,2,2025-01-23,2025-01-24,8,2024-07-20,2026-01-02,True,1,True,EQP-CY-10803,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 14423",Active,2023-11-16,2023-11-16,0,False,,,,,,,True,-187.0
4251 AURORA AVE N,4251 AURORA AVE N,6.0,2,2023-08-10,2025-07-09,7,2021-08-31,2026-01-15,True,1,True,EQP-CY-07918,Conveyance Equipment Certification,"1P - Hydraulic Elevator, City # 10498",Active,2014-03-18,2014-03-18,0,False,,,,,,,True,-709.0
5398 RUSSELL AVE NW,5398 RUSSELL AVE NW,6.0,1,2019-01-17,2019-01-17,6,2023-05-06,2025-12-09,True,0,False,,,,,,,0,False,,,,,,,True,1570.0
1715 NW 59TH ST,1715 NW 59TH ST,6.0,2,2025-07-03,2025-07-10,5,2024-04-06,2025-07-01,True,0,False,,,,,,,1,True,EQP-CY-02990,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 4843",Operating Without Certificate,1990-03-02,1990-03-02,True,-453.0
2233 NW 58TH ST,2233 NW 58th ST,6.0,1,2025-05-03,2025-05-03,5,2022-02-10,2024-08-02,True,0,False,,,,,,,3,True,EQP-CY-07373 | EQP-CY-07372 | EQP-CY-07371,Conveyance Equipment Certification,"3-P - Cabled Elevator, City # 9773 | 1-P - Cabled Elevator, City # 9771 | 2-P - Cabled Elevator, City # 9772",Operating Without Certificate,2010-07-06,2010-07-06,True,-1178.0
8551 GREENWOOD AVE N,8551 GREENWOOD AVE N,6.0,1,2025-02-21,2025-02-21,5,2021-06-19,2025-08-30,True,1,True,EQP-CY-05626,Conveyance Equipment Certification,"P1 (Tower A) - Hydraulic Elevator, City # 7452",Active,2000-12-22,2000-12-22,1,True,EQP-CY-05627,Conveyance Equipment Certification,"P2 (Tower B) - Hydraulic Elevator, City # 7453",Operating Without Certificate,2000-12-22,2000-12-22,True,-1343.0
2250 NW 59TH ST,2250 NW 59TH ST,6.0,4,2024-06-15,2024-07-02,4,2021-02-18,2023-02-02,True,0,False,,,,,,,1,True,EQP-CY-02993,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3117",Operating Without Certificate,1990-03-02,1990-03-02,True,-1213.0
1537 NW 56TH ST,1537 NW 56TH ST,6.0,1,2024-07-10,2024-07-10,4,2020-09-07,2022-10-30,True,2,True,EQP-CY-08645 | EQP-CY-08644,Conveyance Equipment Certification,"2 - Cabled Elevator, City # 12030 | 1 - Cabled Elevator, City # 12029",Active,2017-01-11,2017-01-11,0,False,,,,,,,True,-1402.0
2421 NW MARKET ST,2421 NW MARKET ST,6.0,1,2022-10-28,2022-10-28,4,2023-06-06,2023-10-26,True,3,True,EQP-CY-10561 | EQP-CY-10538 | EQP-CY-10537,Conveyance Equipment Certification,"1-ML - Material Lift, City # 14245 | 2P - Cabled Elevator, City # 13696 | 1 - Cabled Elevator, City # 13695",Active,2022-10-18,2022-10-20,0,False,,,,,,,True,221.0
8105 GREENWOOD AVE N,8105 GREENWOOD AVE N,6.0,1,2025-02-25,2025-02-25,4,2022-04-17,2025-07-31,True,1,True,EQP-CY-10591,Conveyance Equipment Certification,"1P - Cabled Elevator, City # 13902",Active,2023-01-11,2023-01-11,0,False,,,,,,,True,-1045.0
1701 NW 56TH ST,1701 NW 56TH ST,6.0,1,2023-08-14,2023-08-14,3,2023-12-17,2024-02-15,True,2,True,EQP-CY-09553 | EQP-CY-09552,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 12435 | 1-P - Cabled Elevator, City # 12430",Active,2018-08-02,2018-08-02,0,False,,,,,,,True,125.0
2041 NW 57TH ST,2041 NW 57TH ST,6.0,1,2024-06-03,2024-06-03,3,2020-01-21,2023-08-09,True,0,False,,,,,,,2,True,EQP-CY-07784 | EQP-CY-07783,Conveyance Equipment Certification,"EL-1S - Cabled Elevator, City # 10465 | EL-1N - Cabled Elevator, City # 10455",Operating Without Certificate,2013-07-10,2013-07-10,True,-1595.0
2208 NW MARKET ST,2208 NW MARKET ST,6.0,1,2019-03-07,2019-03-07,3,2023-09-18,2025-07-29,True,1,True,EQP-CY-03311,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 711",Active,1990-04-05,1990-04-05,0,False,,,,,,,True,1656.0
6726 GREENWOOD AVE N,6726 GREENWOOD AVE N,6.0,1,2023-05-30,2023-05-30,3,2021-04-09,2025-04-06,True,0,False,,,,,,,1,True,EQP-CY-09887,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 12925",Operating Without Certificate,2019-09-13,2019-09-13,True,-781.0
1760 NW 56TH ST,1760 NW 56TH ST,6.0,3,2015-09-17,2025-04-01,2,2022-03-26,2024-08-12,True,2,True,EQP-CY-08353 | EQP-CY-08352,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 11639 | 1-P - Cabled Elevator, City # 11638",Active,2016-01-15,2016-01-15,0,False,,,,,,,True,2382.0
708 N 35TH ST,708 N 35TH ST,6.0,3,2025-02-03,2025-04-29,2,2020-06-27,2022-04-21,True,1,True,EQP-CY-02971,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3659",Active,1990-03-02,1990-03-02,0,False,,,,,,,True,-1682.0
3801 34TH AVE W,3801 34TH AVE W,6.0,1,2017-01-10,2017-01-10,2,2025-11-07,2025-11-12,True,1,True,EQP-CY-00983,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 4792",Active,1989-06-20,1989-06-20,0,False,,,,,,,True,3223.0
414 NE RAVENNA BLVD,414 NE Ravenna BLVD,6.0,1,2018-06-20,2018-06-20,2,2019-12-14,2020-02-18,True,1,True,EQP-CY-08676,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 11496",Active,2017-03-08,2017-03-08,0,False,,,,,,,True,542.0
2024 3RD AVE,2024 3RD AVE,7.0,3,2019-01-07,2025-02-21,51,2021-04-20,2025-06-22,True,1,True,EQP-CY-06128,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 8199",Active,2003-11-20,2003-11-20,2,True,EQP-CY-06134 | EQP-CY-06129,Conveyance Equipment Certification,"1-VPL - Accessibility Lift (vertical included), City # 8280 | 1-P - Cabled Elevator, City # 8200",Operating Without Certificate,2003-11-20,2003-12-04,True,834.0
2015 2ND AVE,2015 2nd AVE,7.0,1,2023-09-18,2023-09-18,29,2021-05-01,2026-01-03,True,4,True,EQP-CY-08742 | EQP-CY-08741 | EQP-CY-08740 | EQP-CY-08739,Conveyance Equipment Certification,"4-P - Cabled Elevator, City # 12142 | 3-P - Cabled Elevator, City # 11893 | 2-P - Cabled Elevator, City # 11892 | 1-P - Cabled Elevator, City # 11891",Active,2017-05-24,2017-05-24,0,False,,,,,,,True,-870.0
2014 FAIRVIEW AVE,2014 FAIRVIEW AVE,7.0,3,2023-10-29,2024-01-25,25,2022-08-04,2025-11-16,True,4,True,EQP-CY-10549 | EQP-CY-10548 | EQP-CY-10547 | EQP-CY-10546,Conveyance Equipment Certification,"4 - Cabled Elevator, City # 13540 | 3 - Cabled Elevator, City # 13539 | 2 - Cabled Elevator, City # 13538 | 1 - Cabled Elevator, City # 13537",Active,2022-10-19,2022-10-19,0,False,,,,,,,True,-451.0
2801 WESTERN AVE,2801 WESTERN AVE,7.0,2,2024-04-24,2024-04-28,24,2021-11-23,2026-01-11,True,7,True,EQP-CY-05972 | EQP-CY-05971 | EQP-CY-05970 | EQP-CY-05969 | EQP-CY-05968 | EQP-CY-05967 | EQP-CY-05966,Conveyance Equipment Certification,"7-P - Hydraulic Elevator, City # 7797 | 6-P - Cabled Elevator, City # 7796 | 5-P - Cabled Elevator, City # 7795 | 4-P - Cabled Elevator, City # 7794 | 3-P - Cabled Elevator, City # 7793 | 2-P - Cabled Elevator, City # 7792 | 1-P - Cabled Elevator, City # 7791",Active,2002-05-22,2002-05-22,0,False,,,,,,,True,-883.0
800 SENECA ST,800 SENECA ST,7.0,12,2016-10-31,2025-07-27,21,2020-01-19,2026-01-19,True,3,True,EQP-CY-08148 | EQP-CY-08147 | EQP-CY-08144,Conveyance Equipment Certification,"C - Cabled Elevator, City # 11363 | B - Cabled Elevator, City # 11362 | A - Cabled Elevator, City # 11361",Active,2015-04-08,2015-04-09,0,False,,,,,,,True,1175.0
320 QUEEN ANNE AVE N,320 QUEEN ANNE AVE N,7.0,1,2024-10-11,2024-10-11,20,2022-02-06,2024-10-10,True,1,True,EQP-CY-10288,Conveyance Equipment Certification,"P1 - Cabled Elevator, City # 13552",Active,2021-05-14,2021-05-14,0,False,,,,,,,True,-978.0
710 CHERRY ST,710 Cherry ST,7.0,1,2023-03-24,2023-03-24,18,2020-03-02,2025-03-10,True,0,False,,,,,,,2,True,EQP-CY-08814 | EQP-CY-08813,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 12244 | 1-P - Cabled Elevator, City # 12243",Operating Without Certificate,2017-09-13,2017-09-13,True,-1117.0
