LANDLORD_RANK,OWNER,ADDRESS,BUILDING_NAME,ZIP,APT_UNITS,APT_YR_BUILT,APT_STORIES,TOTAL_COMPLAINTS,COMPLAINTS_90D,OPEN_UNRESOLVED,FIRST_COMPLAINT,LAST_COMPLAINT,WORST_90D_WINDOW,FLAGS,KNOWN_CASE,LAND_VALUE,IMPROVEMENT_VALUE,TOTAL_ASSESSED_VALUE,LAST_SALE_DATE,LAST_SALE_PRICE,PREVIOUS_OWNER,SALE_HISTORY,PIN
1,UNKNOWN / NOT IN SALE RECORDS,1414 A E CHERRY ST,,,,,,3,3,0,2021-05-28,2021-06-12,2021-05-28 to 2021-08-26,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,505 A S CLOVERDALE ST,,,,,,3,3,0,2021-06-14,2021-07-15,2021-06-14 to 2021-09-12,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1634 S KING ST,,,,,,3,3,0,2021-06-16,2021-06-18,2021-06-16 to 2021-09-14,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,700 SENECA ST,Portion of Freeway Park (used as a yard for Exeter,98101,,,,3,3,0,2021-09-01,2021-11-04,2021-09-01 to 2021-11-30,,,227700,,227700,,,,,1976700270
1,UNKNOWN / NOT IN SALE RECORDS,1515 3RD AVE,,,,,,3,3,0,2021-09-21,2021-09-22,2021-09-21 to 2021-12-20,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,13741 15TH AVE NE,,,,,,3,3,0,2021-10-14,2021-12-21,2021-10-14 to 2022-01-12,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,13821 GREENWOOD AVE N,,,,,,3,3,0,2021-10-20,2021-11-10,2021-10-20 to 2022-01-18,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3018 13TH AVE S,,,,,,3,3,0,2021-11-19,2021-12-21,2021-11-19 to 2022-02-17,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,530 25TH AVE S,,,,,,3,3,0,2021-11-19,2022-01-20,2021-11-19 to 2022-02-17,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,2636 NW 56TH ST,,,,,,3,3,0,2021-12-02,2022-01-27,2021-12-02 to 2022-03-02,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,10533 13TH AVE NW,,98177,,,,3,3,0,2021-12-21,2021-12-30,2021-12-21 to 2022-03-21,,,824000,244000,1068000,,,,,868000450
1,UNKNOWN / NOT IN SALE RECORDS,417 7TH AVE S,,,,,,3,3,0,2022-01-13,2022-01-14,2022-01-13 to 2022-04-13,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3221 SW WESTBRIDGE PL,,,,,,3,3,0,2022-01-27,2022-03-31,2022-01-27 to 2022-04-27,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1707 32ND AVE S,,98144,,,,3,3,0,2022-02-19,2022-02-22,2022-02-19 to 2022-05-20,,,586000,164000,750000,,,,,161000115
1,UNKNOWN / NOT IN SALE RECORDS,9221 14TH AVE NW,,,,,,3,3,0,2022-03-04,2022-04-27,2022-03-04 to 2022-06-02,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3920 B 1ST AVE NE,,,,,,3,3,0,2022-03-08,2022-03-08,2022-03-08 to 2022-06-06,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,647 NW 54TH ST,,,,,,3,3,0,2022-03-17,2022-03-18,2022-03-17 to 2022-06-15,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,5015 DELRIDGE WAY SW,,,,,,3,3,0,2022-03-24,2022-04-22,2022-03-24 to 2022-06-22,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3227 NE 145TH ST,,,,,,3,3,0,2022-04-25,2022-04-26,2022-04-25 to 2022-07-24,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,620 1ST AVE,,,,,,3,3,0,2022-05-06,2022-06-14,2022-05-06 to 2022-08-04,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,8328 13TH AVE NW,,,,,,3,3,0,2022-06-01,2022-06-09,2022-06-01 to 2022-08-30,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,216 E BOSTON ST,,,,,,3,3,0,2022-07-07,2022-07-12,2022-07-07 to 2022-10-05,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,200 BELL ST,,,,,,3,3,0,2022-07-10,2022-07-26,2022-07-10 to 2022-10-08,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,9559 AURORA AVE N,,,,,,3,3,0,2022-07-06,2022-07-19,2022-07-06 to 2022-10-04,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3800 DIAGONAL AVE S,,,,,,3,3,0,2022-07-28,2022-08-10,2022-07-28 to 2022-10-26,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,575 M L KING JR WAY,,,,,,3,3,0,2022-08-06,2022-08-21,2022-08-06 to 2022-11-04,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3643 PALATINE AVE N,Sfr,98103,,,,3,3,0,2022-08-15,2022-10-15,2022-08-15 to 2022-11-13,SUSPICIOUS_IMPR_VALUE_1000,,705000,1000,706000,,,,,1972200235
1,UNKNOWN / NOT IN SALE RECORDS,8631 PALATINE AVE N,,,,,,3,3,0,2022-08-19,2022-09-23,2022-08-19 to 2022-11-17,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,12327 A 28TH AVE NE,,,,,,3,3,0,2022-09-14,2022-09-23,2022-09-14 to 2022-12-13,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3480 26TH AVE SW,,,,,,3,3,0,2022-07-08,2022-09-30,2022-07-08 to 2022-10-06,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,7235 WEST GREEN LAKE DR N,,,,,,3,3,0,2022-10-13,2022-10-19,2022-10-13 to 2023-01-11,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1740 NE 88TH ST,1740 NE 88TH ST,98115,,,,3,3,0,2022-12-18,2022-12-18,2022-12-18 to 2023-03-18,,,227400,1131600,1359000,,,,,7698910000
1,UNKNOWN / NOT IN SALE RECORDS,5922 19TH AVE SW,,,,,,3,3,0,2023-01-11,2023-03-24,2023-01-11 to 2023-04-11,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,11131 BEACON AVE S,,,,,,3,3,0,2023-01-25,2023-03-16,2023-01-25 to 2023-04-25,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,2326 1ST AVE,,,,,,3,3,0,2023-02-06,2023-04-14,2023-02-06 to 2023-05-07,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,811 A NW 53RD ST,,,,,,3,3,0,2023-03-02,2023-04-20,2023-03-02 to 2023-05-31,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,2000 NE COLUMBIA RD,,,,,,3,3,0,2023-05-17,2023-05-23,2023-05-17 to 2023-08-15,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,12302 5TH AVE NE,12302 5TH AVE NE,98125,,,,3,3,0,2023-05-25,2023-07-12,2023-05-25 to 2023-08-23,,,202100,403900,606000,,,,,6390680000
