category,rrio_status,address,district,lt_complaints,verified,unverified,unverified_pct,open,sha_flag,units,contact,reg_number
UNREGISTERED,NOT REGISTERED,13520 LINDEN AVE N,D5,9,1,6,66.7,2,,,,
UNREGISTERED,NOT REGISTERED,12724 LAKE CITY WAY NE,D5,9,1,4,44.4,4,,,,
UNREGISTERED,NOT REGISTERED,2445 NW 57TH ST,D6,9,2,6,66.7,1,,,,
UNREGISTERED,NOT REGISTERED,85 PIKE ST,D7,9,1,5,55.6,3,,,,
UNREGISTERED,NOT REGISTERED,133 PONTIUS AVE N,D7,9,0,6,66.7,3,,,,
UNREGISTERED,NOT REGISTERED,509 QUEEN ANNE AVE N,D7,9,0,8,88.9,1,,,,
UNREGISTERED,NOT REGISTERED,533 3RD AVE W,D7,9,3,4,44.4,2,,,,
UNREGISTERED,NOT REGISTERED,3428 13TH AVE W,D7,9,0,9,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,3450 13TH AVE W,D7,9,0,9,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,2401 SW HOLDEN ST,D1,8,2,4,50.0,2,,,,
UNREGISTERED,NOT REGISTERED,5039 31ST AVE S,D2,8,5,3,37.5,0,YES,,,
UNREGISTERED,NOT REGISTERED,1414 S COLUMBIAN WAY,D2,8,5,3,37.5,0,,,,
UNREGISTERED,NOT REGISTERED,9032 RENTON AVE S,D2,8,5,3,37.5,0,,,,
UNREGISTERED,NOT REGISTERED,3230 LAFAYETTE AVE S,D2,8,1,7,87.5,0,,,,
UNREGISTERED,NOT REGISTERED,5319 RAVENNA PL NE,D4,8,2,5,62.5,1,,,,
UNREGISTERED,NOT REGISTERED,9017 3RD AVE NW,D5,8,4,4,50.0,0,YES,,,
UNREGISTERED,NOT REGISTERED,12546 33RD AVE NE,D5,8,0,6,75.0,2,YES,,,
UNREGISTERED,NOT REGISTERED,1100 N 115TH ST,D5,8,1,5,62.5,2,,,,
UNREGISTERED,NOT REGISTERED,12530 35TH AVE NE,D5,8,2,2,25.0,4,YES,,,
UNREGISTERED,NOT REGISTERED,923 N 105TH ST,D5,8,0,8,100.0,0,,,,
